label	sampleid	d	arrival	iforderpv_24h	decisionhabit_user	historyvisit_7ordernum	historyvisit_totalordernum	hotelcr	ordercanceledprecent	landhalfhours	ordercanncelednum	commentnums	starprefer	novoters	consuming_capacity	historyvisit_avghotelnum	cancelrate	historyvisit_visit_detailpagenum	delta_price1	price_sensitive	hoteluv	businessrate_pre	ordernum_oneyear	cr_pre	avgprice	lowestprice	firstorder_bu	customereval_pre2	delta_price2	commentnums_pre	customer_value_profit	commentnums_pre2	cancelrate_pre	novoters_pre2	novoters_pre	ctrip_profits	deltaprice_pre2_t1	lowestprice_pre	uv_pre	uv_pre2	lowestprice_pre2	lasthtlordergap	businessrate_pre2	cityuvs	cityorders	lastpvgap	cr	sid	visitnum_oneyear	h
0	24655	2016-05-18	2016-06-07	0	9.0	NULL	1	1.13	0.0	0	0	631	60.0	1345	28.0	9.0	1074	NULL	54.0	12.0	41.94	0.79	1	1.13	343.0	196.0	11.0	3.6	134.0	173	0.191	1165.0	0.24	2047.0	691	-0.04	NULL	289.0	100.613	41.467	209.0	32071	0.73	0.007	NULL	7665	1.14	160	1795	15
0	24656	2016-05-18	2016-05-19	1	NULL	NULL	NULL	1.02	NULL	12	NULL	11846	40.0	14678	11.0	NULL	6110	NULL	-318.0	0.0	1547.253	0.04	NULL	1.01	305.0	722.0	10.0	4.9	-305.0	2089	0.165	5734.0	0.12	6830.0	3161	0.16	15.0	623.0	1081.507	984.316	610.0	NULL	0.04	7.613	0.713	4977	NULL	67	841	23
0	24657	2016-05-18	2016-05-21	0	2.0	NULL	NULL	1.06	NULL	2	NULL	3318	NULL	5471	NULL	2.0	3541	6	NULL	NULL	270.6	0.11	NULL	1.04	NULL	121.0	5.0	4.5	NULL	4841	NULL	5886.0	0.07	8392.0	6999	1.147	78.0	190.0	323.627	385.809	543.0	NULL	0.12	3.193	0.3	3296	1.0	3	22	21
0	24658	2016-05-18	2016-05-18	0	1.0	1	33	1.1	0.01	2	5	306	95.3	346	96.0	4.0	209	4	812.0	25.0	11.227	0.59	33	1.08	1000.0	288.0	13.0	2.1	807.0	204	30.292	447.0	0.31	611.0	263	32.547	8.0	188.0	8.147	16.194	193.0	4616	0.59	4.98	1.207	614	1.52	22	2807	15
1	24659	2016-05-18	2016-05-18	0	NULL	NULL	NULL	1.09	NULL	12	NULL	514	NULL	863	NULL	NULL	1065	49	NULL	NULL	49.167	0.48	NULL	1.05	NULL	100.0	NULL	2.3	NULL	97	NULL	753.0	0.36	689.0	127	1.0	9.0	50.0	13.3	41.122	263.0	NULL	0.54	56.487	12.653	939	1.0	80	959	4
0	24662	2016-05-18	2016-06-02	0	10.0	NULL	4	1.0	0.0	0	1	16	85.0	46	61.0	9.5	27	NULL	397.0	11.0	34.08	NULL	4	1.02	685.0	1495.0	NULL	2.6	257.0	51	9.835	86.0	0.56	101.0	67	11.28	NULL	288.0	30.513	24.769	429.0	44830	0.08	0.627	0.04	7262	1.0	461	5584	11
0	24664	2016-05-18	2016-06-10	0	2.0	NULL	NULL	1.03	NULL	1	NULL	4708	NULL	5965	NULL	2.0	2987	NULL	NULL	NULL	323.613	0.15	NULL	1.03	NULL	156.0	NULL	1.8	NULL	5102	NULL	2556.0	0.15	3399.0	6712	NULL	NULL	648.0	855.127	447.097	580.0	NULL	0.15	2.04	0.207	7389	1.0	10	348	23
1	24665	2016-05-18	2016-05-20	0	2.0	NULL	7	1.1	0.03	0	3	391	53.3	527	27.0	4.0	562	4	238.0	33.0	17.46	NULL	7	1.13	407.0	167.0	12.0	1.8	232.0	3	1.59	157.0	0.27	297.0	220	1.073	8.0	169.0	31.547	23.764	175.0	5823	0.45	4.48	0.667	216	1.38	359	2328	14
0	24666	2016-05-18	2016-06-02	0	1.0	NULL	23	1.01	0.97	44	463	NULL	68.6	1	39.0	2.1	1	19	-251.0	12.0	0.94	NULL	23	1.04	282.0	650.0	NULL	2.0	-251.0	12	3.83	12.0	0.29	27.0	27	4.667	NULL	533.0	3.92	3.92	533.0	242483	NULL	0.013	NULL	237	1.0	347	8369	8
0	24667	2016-05-18	2016-05-28	0	NULL	NULL	NULL	1.01	NULL	0	NULL	261	100.0	355	64.0	NULL	146	NULL	-1999.0	5.0	72.787	0.02	NULL	1.0	661.0	858.0	NULL	4.1	-996.0	636	NULL	340.0	0.24	306.0	17	0.0	NULL	2660.0	109.407	94.283	1657.0	NULL	0.04	0.84	0.02	15855	1.0	27	203	22
0	24669	2016-05-18	2016-05-20	0	2.0	NULL	22	1.1	0.37	0	176	3114	76.4	4466	60.0	1.5	1754	NULL	400.0	37.0	63.8	0.44	22	1.08	608.0	368.0	NULL	1.5	400.0	733	9.204	733.0	0.53	1255.0	1255	11.473	NULL	208.0	51.907	51.907	208.0	14689	0.44	26.66	3.773	475	1.22	2215	3199	13
0	24672	2016-05-19	2016-05-19	0	2.0	NULL	55	1.08	0.4	NULL	650	706	99.4	1038	92.0	3.1	580	6	NULL	21.0	32.193	NULL	55	NULL	940.0	409.0	NULL	NULL	NULL	NULL	32.578	NULL	NULL	NULL	NULL	70.667	NULL	NULL	NULL	NULL	NULL	7190	NULL	0.133	0.013	355	1.34	78	8837	19
0	24674	2016-05-19	2016-05-26	0	2.0	1	14	1.16	0.01	0	4	22350	88.5	32183	44.0	2.1	17634	16	433.0	10.0	437.84	0.69	14	1.08	544.0	428.0	NULL	4.5	433.0	6050	5.461	6050.0	0.39	8103.0	8103	17.327	143.0	111.0	177.693	177.693	111.0	19293	0.69	6.58	0.56	4294	1.16	834	12669	16
1	24675	2016-05-19	2016-05-21	0	1.0	NULL	11	1.03	0.2	1	229	287	81.1	355	47.0	1.0	345	NULL	112.0	22.0	62.32	0.55	11	1.04	570.0	500.0	NULL	3.8	193.0	1094	3.388	1809.0	0.35	2439.0	1525	3.52	-16.0	458.0	85.62	97.773	377.0	74142	0.53	7.653	1.053	4424	1.0	12	6487	18
0	24676	2016-05-19	2016-05-19	0	2.0	2	58	1.11	0.18	0	582	1496	98.6	2443	87.0	1.8	1260	18	491.0	24.0	39.093	0.64	58	1.14	930.0	418.0	NULL	5.5	491.0	2917	33.637	2917.0	0.27	4450.0	4450	82.14	NULL	439.0	62.593	62.593	439.0	2122	0.64	0.48	0.087	308	1.61	707	5857	11
0	24679	2016-05-19	2016-06-18	0	1.0	NULL	2	1.0	1.0	0	2	NULL	80.0	3	NULL	1.8	44	NULL	-117.0	NULL	54.627	0.08	2	1.03	378.0	1344.0	NULL	5.2	-1481.0	2306	NULL	2306.0	0.26	1155.0	3458	NULL	NULL	495.0	199.773	96.678	1859.0	389094	0.08	0.24	0.033	6432	1.0	91	1828	21
0	24680	2016-05-19	2016-06-09	0	NULL	NULL	11	1.03	0.09	0	1	3997	74.3	5785	49.0	NULL	2946	21	-93.0	12.0	522.793	0.09	11	1.02	685.0	653.0	13.0	4.9	-125.0	4161	8.794	2982.0	0.12	4185.0	5827	9.86	NULL	778.0	940.34	626.74	810.0	53683	0.08	4.12	0.22	20144	1.1	269	1414	21
1	24681	2016-05-19	2016-05-20	0	4.0	NULL	35	1.09	0.72	8	1772	700	69.5	1266	49.0	6.1	2526	NULL	-606.0	12.0	136.387	0.28	35	1.04	498.0	424.0	NULL	4.7	-239.0	6236	6.807	3827.0	0.16	5137.0	8250	12.273	-6.0	1104.0	456.953	321.234	737.0	14661	0.35	20.12	3.613	513	1.0	380	3688	19
0	24682	2016-05-19	2016-05-23	0	NULL	NULL	NULL	1.03	NULL	0	NULL	738	NULL	1228	NULL	NULL	784	NULL	NULL	NULL	142.387	0.08	NULL	1.02	NULL	158.0	NULL	3.5	NULL	312	NULL	157.0	0.24	620.0	720	NULL	NULL	318.0	228.733	200.918	338.0	NULL	0.05	0.82	0.027	NULL	NULL	6	NULL	19
0	24683	2016-05-19	2016-05-19	0	1.0	1	5	1.15	0.88	0	15	298	49.6	406	28.0	1.5	155	2	231.0	0.0	3.54	0.33	5	1.06	291.0	130.0	NULL	1.5	231.0	90	1.339	90.0	0.38	148.0	148	2.353	0.0	60.0	5.327	5.327	60.0	2989	0.33	0.373	0.087	2119	1.0	385	2428	19
1	24685	2016-05-19	2016-05-19	0	4.0	NULL	20	1.05	0.12	19	6	NULL	50.3	30	24.0	3.7	108	25	-166.0	15.0	10.093	0.71	20	1.12	216.0	328.0	NULL	3.1	-63.0	2282	5.042	1721.0	0.27	2146.0	3694	7.547	36.0	382.0	57.453	81.123	280.0	19628	0.6	12.793	2.793	53	1.15	157	1862	17
0	24687	2016-05-19	2016-05-27	0	4.0	1	31	1.1	0.01	0	11	129	81.9	296	48.0	4.0	135	18	309.0	20.0	6.48	0.79	31	1.13	519.0	154.0	NULL	3.3	351.0	179	12.838	187.0	0.39	304.0	235	14.847	0.0	210.0	8.793	7.057	168.0	418	0.8	0.013	NULL	418	1.25	547	3370	9
0	24688	2016-05-19	2016-05-21	0	4.0	NULL	NULL	1.09	NULL	2	NULL	719	80.0	910	55.0	4.0	404	NULL	427.0	5.0	18.013	0.03	NULL	1.09	558.0	131.0	NULL	2.8	245.0	719	0.292	626.0	0.38	769.0	911	1.62	-25.0	131.0	18.013	21.285	313.0	NULL	0.05	0.313	0.04	371	1.0	47	1903	18
0	24689	2016-05-19	2016-05-19	0	2.0	NULL	40	1.08	0.21	1	315	3807	75.7	5339	29.0	2.0	3333	21	174.0	3.0	197.187	0.65	40	1.07	285.0	111.0	NULL	5.0	-184.0	1453	3.788	2238.0	0.21	3101.0	1957	4.833	-17.0	111.0	105.74	119.896	470.0	14856	0.51	15.3	3.887	3430	1.14	62	854	2
1	24692	2016-05-19	2016-05-19	0	2.0	3	32	1.11	0.13	NULL	209	1469	87.3	2511	60.0	2.2	503	33	NULL	6.0	18.333	NULL	32	NULL	592.0	161.0	NULL	NULL	NULL	NULL	16.465	NULL	NULL	NULL	NULL	23.067	NULL	NULL	NULL	NULL	NULL	15297	NULL	0.413	0.067	3363	1.41	544	4754	18
0	24693	2016-05-19	2016-05-21	0	1.0	NULL	13	1.01	0.31	0	4	79	60.0	114	33.0	1.0	159	5	-619.0	16.0	104.453	0.04	13	1.03	361.0	2150.0	12.0	4.5	-619.0	1874	4.247	1874.0	0.34	2813.0	2813	3.813	NULL	980.0	509.713	509.713	980.0	42722	0.04	22.453	2.927	294	1.2	300	1045	23
1	24694	2016-05-19	2016-05-19	0	1.0	NULL	48	1.03	0.14	0	219	1265	93.0	1638	80.0	1.2	919	NULL	-153.0	18.0	134.207	0.3	48	1.04	959.0	2605.0	NULL	5.0	-153.0	1830	64.772	1830.0	0.13	2464.0	2464	92.267	680.0	1112.0	251.927	251.927	1112.0	13055	0.3	12.94	3.36	13055	1.57	76	2436	12
0	24695	2016-05-19	2016-06-04	0	4.0	NULL	5	1.07	0.98	0	198	96	65.0	172	38.0	4.0	412	29	-151.0	12.0	26.513	0.46	5	1.07	362.0	182.0	13.0	4.3	-14.0	1492	0.585	406.0	0.33	631.0	2134	0.58	NULL	513.0	45.487	32.193	376.0	285241	0.32	0.12	0.02	414	1.0	69	2323	14
0	24697	2016-05-19	2016-05-19	0	NULL	NULL	NULL	1.07	0.57	0	1371	150	78.2	408	37.0	NULL	981	NULL	185.0	26.0	61.88	NULL	48	1.04	424.0	264.0	NULL	3.5	251.0	NULL	5.501	339.0	0.5	239.0	2	7.287	0.0	239.0	0.673	17.873	173.0	23340	0.33	6.673	1.573	1507	NULL	143	12435	17
0	24698	2016-05-19	2016-05-19	0	3.0	NULL	1	1.0	0.0	1	0	NULL	60.0	NULL	20.0	5.8	NULL	1	66.0	9.0	0.1	NULL	1	1.04	196.0	198.0	NULL	1.9	91.0	76	NULL	223.0	0.44	426.0	252	NULL	-1.0	130.0	13.06	12.858	106.0	10972	0.39	4.727	1.127	6348	1.03	131	2429	11
0	24699	2016-05-19	2016-06-02	0	3.0	NULL	12	1.05	0.25	5	3	22172	61.7	31767	29.0	3.0	14505	39	228.0	20.0	1093.773	0.16	12	1.05	318.0	90.0	NULL	4.5	167.0	22172	3.561	17496.0	0.07	24913.0	31741	7.247	NULL	90.0	1093.773	934.508	150.0	138710	0.1	1.887	0.133	797	1.0	550	2581	5
0	24700	2016-05-19	2016-05-19	0	4.0	NULL	42	1.11	0.57	0	1559	358	93.3	498	69.0	5.4	217	18	558.0	31.0	9.28	0.2	42	1.11	676.0	118.0	NULL	2.3	568.0	358	17.885	488.0	0.39	679.0	498	13.673	-1.0	118.0	9.28	11.253	108.0	18923	0.17	0.813	0.193	94	1.15	1286	12211	21
0	24702	2016-05-19	2016-05-19	0	2.0	NULL	4	1.14	0.97	0	101	248	88.6	445	100.0	3.3	397	4	920.0	100.0	14.793	0.57	4	1.17	1203.0	188.0	12.0	4.0	920.0	1223	9.952	1223.0	0.29	1952.0	1952	11.353	12.0	283.0	22.513	22.513	283.0	146050	0.57	0.207	0.04	1730	1.0	353	2921	21
0	24703	2016-05-19	2016-05-19	0	NULL	NULL	NULL	1.0	0.25	0	2	2	88.7	4	76.0	NULL	9	NULL	429.0	24.0	10.34	NULL	8	1.02	683.0	483.0	NULL	2.5	306.0	28	5.683	47.0	0.25	66.0	46	10.48	-14.0	254.0	21.487	36.692	377.0	41084	0.02	56.487	12.133	910	NULL	45	9308	6
0	24704	2016-05-19	2016-05-20	1	NULL	NULL	NULL	1.08	NULL	15	NULL	67	NULL	314	NULL	NULL	1133	NULL	NULL	NULL	64.28	0.61	NULL	1.06	NULL	158.0	NULL	2.4	NULL	553	NULL	796.0	0.33	1172.0	1231	0.093	1.0	120.0	143.573	76.632	172.0	NULL	0.56	39.12	6.633	NULL	NULL	2	NULL	23
0	24705	2016-05-19	2016-06-16	0	NULL	NULL	NULL	1.04	0.04	3	2	554	97.1	701	55.0	NULL	1980	NULL	389.0	26.0	193.847	0.13	15	1.08	549.0	880.0	13.0	3.9	325.0	1588	3.493	1118.0	0.23	1531.0	2073	6.02	NULL	160.0	110.84	65.881	224.0	27790	0.15	0.033	NULL	3000	NULL	200	8366	16
0	24707	2016-05-19	2016-05-20	0	2.0	3	31	1.1	0.02	5	4	1745	70.9	2599	40.0	3.1	1545	51	-516.0	26.0	66.007	0.39	31	1.04	484.0	111.0	NULL	5.2	-210.0	1039	13.436	3190.0	0.18	4697.0	1482	46.087	14.0	1000.0	271.373	222.659	695.0	798	0.56	35.567	6.12	271	1.23	184	5483	23
0	24708	2016-05-19	2016-05-19	0	NULL	NULL	NULL	1.01	0.03	0	4	82	76.7	126	48.0	NULL	84	NULL	285.0	37.0	31.66	0.02	10	1.04	467.0	198.0	NULL	0.0	285.0	783	2.088	783.0	0.43	1189.0	1189	4.38	0.0	182.0	34.227	34.227	182.0	16414	0.02	3.087	0.327	687	NULL	287	8701	6
0	24709	2016-05-19	2016-05-19	1	28.0	NULL	7	1.01	0.44	4	264	88	40.0	115	7.0	27.5	175	103	-427.0	18.0	113.673	0.59	7	1.13	161.0	336.0	NULL	3.4	-308.0	3125	-0.129	2348.0	0.33	2866.0	4513	4.513	-14.0	588.0	95.887	91.91	468.0	156351	0.49	26.133	4.967	395	1.0	257	2190	12
0	24711	2016-05-19	2016-05-19	0	NULL	NULL	8	1.02	0.48	13	284	NULL	71.4	13	27.0	NULL	34	NULL	-25.0	78.0	7.36	0.68	8	1.07	280.0	118.0	NULL	3.6	20.0	2747	0.815	1974.0	0.38	2705.0	4341	13.847	6.0	305.0	55.38	48.091	259.0	409295	0.64	11.927	2.887	1565	1.0	37	1508	18
1	24712	2016-05-19	2016-05-20	1	3.0	NULL	32	1.04	0.31	2	10	1959	89.5	3017	71.0	3.6	1256	57	309.0	12.0	134.907	0.18	32	1.05	721.0	223.0	12.0	4.8	-87.0	6072	23.318	3782.0	0.11	4369.0	8190	33.94	-36.0	412.0	549.533	412.704	809.0	106945	0.16	8.88	1.14	128	1.08	695	13348	17
1	24713	2016-05-19	2016-05-19	0	3.0	NULL	49	1.06	0.22	0	888	NULL	60.5	59	21.0	4.3	301	55	-1.0	9.0	29.627	0.72	49	1.1	208.0	236.0	13.0	3.9	1.0	1715	-1.31	2082.0	0.36	2894.0	2740	-1.14	0.0	209.0	43.853	89.012	207.0	22375	0.53	4.78	0.967	416	1.12	1400	5990	9
0	24715	2016-05-19	2016-05-19	1	7.0	NULL	1	1.09	1.0	0	35	8	NULL	24	NULL	6.5	234	NULL	NULL	NULL	5.527	0.68	1	1.07	NULL	131.0	7.0	0.6	NULL	165	NULL	165.0	0.48	354.0	354	NULL	0.0	178.0	23.647	9.511	101.0	50436	0.68	5.773	1.027	3344	1.0	240	1289	23
0	24717	2016-05-19	2016-05-19	0	NULL	NULL	2	1.1	0.5	12	1	173	60.0	239	27.0	NULL	166	NULL	155.0	4.0	4.22	NULL	2	1.06	249.0	92.0	13.0	2.5	155.0	49	0.471	49.0	0.55	90.0	90	0.467	-5.0	94.0	3.993	3.993	94.0	472808	NULL	1.207	0.287	11843	NULL	32	61	19
1	24718	2016-05-19	2016-05-31	1	NULL	NULL	1	1.02	0.0	0	0	NULL	40.0	243	17.0	NULL	451	16	28.0	0.0	52.733	0.01	1	1.02	216.0	88.0	12.0	3.5	21.0	847	0.146	857.0	0.16	1211.0	1208	0.76	NULL	188.0	145.947	210.193	194.0	496809	0.02	1.76	0.073	2128	NULL	14	36	9
1	24719	2016-05-19	2016-05-20	0	NULL	NULL	1	1.02	0.0	0	0	907	40.0	1382	28.0	NULL	705	NULL	-13.0	100.0	179.9	0.25	1	1.0	280.0	100.0	NULL	0.5	58.0	84	0.104	263.0	NULL	423.0	123	1.173	3.0	293.0	0.533	60.069	222.0	212131	0.22	20.12	3.613	11897	NULL	77	2087	12
0	24720	2016-05-19	2016-05-21	0	NULL	NULL	NULL	1.04	NULL	0	NULL	864	50.0	1575	29.0	NULL	874	8	-501.0	0.0	89.78	0.34	NULL	1.07	288.0	111.0	13.0	4.8	-286.0	1424	0.47	1736.0	0.24	2728.0	2116	0.467	-13.0	789.0	122.853	113.358	574.0	NULL	0.42	3.52	0.7	NULL	NULL	89	NULL	10
0	24723	2016-05-19	2016-05-23	0	2.0	1	1	1.04	0.0	0	0	7	68.9	15	32.0	2.0	9	8	-20.0	26.0	0.853	0.34	1	1.05	368.0	138.0	NULL	5.0	-20.0	1448	0.185	1448.0	0.3	1944.0	1944	2.1	8.0	388.0	73.113	73.113	388.0	486797	0.34	0.087	0.007	16116	1.0	18	48	14
0	24724	2016-05-19	2016-05-19	0	2.0	NULL	14	1.04	0.99	0	634	1568	61.7	2032	22.0	6.6	965	12	-21.0	3.0	97.213	NULL	14	1.08	300.0	399.0	13.0	3.7	15.0	39	1.471	858.0	0.34	1291.0	413	7.147	9.0	321.0	90.653	46.627	285.0	99300	0.57	4.92	0.86	735	1.04	110	1573425	11
0	24727	2016-05-19	2016-05-19	1	NULL	NULL	NULL	1.08	NULL	15	NULL	655	NULL	1093	NULL	NULL	618	NULL	NULL	NULL	31.62	NULL	NULL	1.02	NULL	223.0	12.0	2.3	NULL	NULL	NULL	1955.0	0.39	2093.0	15	0.853	-14.0	268.0	13.087	141.994	188.0	NULL	0.39	58.16	11.633	0	NULL	1	20628	16
1	24728	2016-05-19	2016-06-09	0	NULL	NULL	8	1.04	0.38	0	3	594	67.8	816	36.0	NULL	310	NULL	35.0	12.0	37.18	0.13	8	1.06	327.0	480.0	3.0	3.5	-67.0	1541	3.519	836.0	0.21	1058.0	2006	4.447	NULL	292.0	72.367	34.366	394.0	199255	0.27	0.373	0.027	NULL	NULL	57	NULL	21
0	24729	2016-05-19	2016-05-27	0	NULL	NULL	3	1.03	0.0	0	0	179	30.0	394	20.0	NULL	27	NULL	5.0	22.0	4.68	0.03	3	1.03	205.0	262.0	13.0	0.4	-41.0	590	0.295	559.0	0.18	758.0	902	0.293	-19.0	200.0	18.28	31.38	246.0	176502	0.02	1.0	0.113	115491	1.0	23	512	21
0	24730	2016-05-19	2016-05-24	0	4.0	NULL	6	1.08	0.98	0	194	1647	60.0	3056	25.0	3.9	1111	NULL	-86.0	47.0	60.78	0.7	6	1.08	278.0	328.0	13.0	3.5	-86.0	1885	0.491	1885.0	0.4	2692.0	2692	0.487	2.0	364.0	69.08	69.08	364.0	5142	0.7	1.853	0.26	4700	1.08	34	1122	12
1	24731	2016-05-19	2016-05-19	0	NULL	NULL	NULL	1.01	0.09	0	62	22	46.7	44	14.0	NULL	56	NULL	69.0	22.0	26.533	0.43	23	1.05	149.0	78.0	13.0	2.0	46.0	1273	0.144	664.0	0.51	912.0	1709	3.553	7.0	80.0	41.447	33.34	103.0	7786	0.43	26.133	4.967	208	NULL	541	12193	9
1	24732	2016-05-19	2016-05-20	0	NULL	NULL	NULL	1.08	NULL	0	NULL	499	NULL	748	NULL	NULL	536	NULL	NULL	NULL	26.267	0.6	NULL	1.07	NULL	120.0	12.0	4.5	NULL	773	NULL	773.0	0.32	1208.0	1208	6.273	0.0	536.0	101.553	101.553	536.0	NULL	0.6	6.52	1.22	10689	1.0	22	1228	20
0	24734	2016-05-19	2016-05-20	0	1.0	NULL	NULL	1.13	NULL	0	NULL	183	80.0	513	23.0	1.0	1555	NULL	-50.0	27.0	49.127	0.36	NULL	1.16	238.0	500.0	12.0	4.5	-50.0	308	0.165	308.0	0.13	578.0	578	0.093	NULL	288.0	32.58	32.58	288.0	NULL	0.36	0.16	0.013	15128	1.0	44	642	17
0	24735	2016-05-19	2016-05-19	0	2.0	NULL	2	1.0	1.0	0	2	NULL	40.0	NULL	13.0	2.4	1	7	139.0	0.0	0.26	NULL	2	1.08	223.0	80.0	13.0	1.0	149.0	NULL	0.008	2.0	0.46	4.0	3	0.007	1.0	84.0	0.68	0.478	74.0	59349	NULL	NULL	NULL	414	1.0	67	3459	15
